drugbank_id,smiles
DB00014,NC(=O)NNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC[NH+]=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@H](Cc5c[nH+]c[nH]5)NC(=O)[C@@H]6CCC(=O)N6
DB00027,O=CN[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](Cc(c[nH]1)c(c12)cccc2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc(c[nH]3)c(c34)cccc4)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc(c[nH]5)c(c56)cccc6)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C(=O)NCCO)Cc(c[nH]7)c(c78)cccc8
DB00035,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@@H](NC1=O)CC(=O)N)C(=O)N4CCC[C@H]4C(=O)N[C@@H](C(=O)NCC(=O)N)CCCNC(N)=[NH2+]
DB00050,NC(=O)[C@@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cnccc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@H](NC(=O)C)Cc(c5)ccc(c56)cccc6
DB00067,NC(N)=[NH+]CCC[C@H](C(=O)NCC(=O)N)NC(=O)[C@H]1CCCN1C(=O)[C@H](CSSC[C@@H]2N)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](NC2=O)Cc4ccc(O)cc4
DB00067,NC(N)=[NH+]CCC[C@H](C(=O)NCC(=O)N)NC(=O)[C@H]1CCCN1C(=O)[C@H](CSSC[C@@H]2[NH3+])NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](NC2=O)Cc4ccc(O)cc4
DB00080,CCCCCCCCCC(=O)N[C@@H](Cc(c[nH]1)c(c12)cccc2)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC([O-])=O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@H]([C@H](C)CC([O-])=O)NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC([O-])=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC([O-])=O)NC(=O)[C@H](CCC[NH3+])NC(=O)CNC3=O
DB00091,C\C=C\C[C@@H](C)[C@@H](O)[C@@H](C(=O)N[C@H]1CC)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O
DB00106,NC(=O)[C@@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH2+]C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc3cnccc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@H](NC(=O)C)Cc(c5)ccc(c56)cccc6
DB00114,Cc1[nH+]cc(c(C=O)c1[O-])COP([O-])([O-])=O
